experiment,image_encoder,audio_encoder,K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift,cat_precision_10
c-transitive,clip-base,clap-unfused,300,0.5,aggregate,0.2375,0.4225,0.51,0.605,9,15,0.0365,0.1879865378141403,0.2174217472013347,0.1294513234715233,0.0497599947809538,0.2174217472013347,0.2250073041784738,0.2103309661546996,0.335259000436369,0.3287103642633446,0.2174418922666189,0.3875973658998651,0.11781710816975,0.295
c-transitive,clip-base,clap-unfused,300,0.5,heldout,0.0,0.0,0.0434782608695652,0.217391304347826,6,15,0.0347826086956521,0.0162053704261779,0.7665100255691774,0.1201297321500535,0.0934499068367493,0.7665100255691774,0.712220551849267,0.8297589391293969,0.2617692560184021,0.2771112540065077,0.1959103363806153,0.5599622336571964,0.0658589196377868,0.2347826086956521
d,clip-base,clap-unfused,0,0.7,aggregate,0.0625,0.175,0.26,0.3575,9,15,0.0325,0.4115369915962219,0.2391182912044318,0.1535635973498704,0.0690991632986945,0.2391182912044318,0.247214399424088,0.2315356516148708,0.5281655015118085,0.4886883587562786,0.2174418922666189,0.3875973658998651,0.3107236092451896,0.2045
d,clip-base,clap-unfused,0,0.7,heldout,0.0869565217391304,0.0869565217391304,0.217391304347826,0.391304347826087,5,15,0.0,0.1901141107082367,0.7321956652833894,0.1035801396063473,0.0827178729689808,0.7321956652833893,0.6619225963686536,0.8191620770828782,0.474945502785479,0.4424225300201122,0.1959103363806153,0.5599622336571964,0.2790351664048637,0.2130434782608695
unsup,clip-base,clap-unfused,0,1.0,aggregate,0.0025,0.02,0.05,0.0925,2,15,0.0945,0.6867650747299194,0.3962441089427063,0.3286796273446674,0.2202022849623378,0.3962441089427063,0.4020735031248091,0.3905813320450341,0.2647191413893215,0.2459239517489168,0.2174418922666189,0.3875973658998651,0.0472772491227026,0.1065
unsup,clip-base,clap-unfused,0,1.0,heldout,0.0,0.0,0.0869565217391304,0.1739130434782608,1,15,0.0695652173913043,0.4040179550647735,0.7442091703309431,0.1070617132920674,0.0827178729689808,0.7442091703309432,0.6792192654708583,0.8229518783117484,0.2888017581939235,0.2221533144005311,0.1959103363806153,0.5599622336571964,0.0928914218133082,0.1
text,clip-base,clap-unfused,0,,aggregate,0.0625,0.1675,0.2325,0.32,3,15,0.023,0.3356451988220215,0.2830082999413347,0.2009139694733155,0.1057177666746325,0.2830082999413348,0.2823845651265038,0.2836347962835135,0.6260784439604461,0.3646712136523085,0.2174418922666189,0.3875973658998651,0.4086365516938272,0.18875
text,clip-base,clap-unfused,0,,heldout,0.0434782608695652,0.0869565217391304,0.1739130434782608,0.217391304347826,4,15,0.0347826086956521,0.2555527985095978,0.7569685775599202,0.1111258545643114,0.0827178729689808,0.7569685775599201,0.6979559767911448,0.8268819472549638,0.5599622336571964,0.2929493190473753,0.1959103363806153,0.5599622336571964,0.3640518972765811,0.1652173913043478
random,clip-base,clap-unfused,0,,aggregate,0.0,0.01,0.025,0.04,1,15,0.012,-0.0179891716688871,0.0961627854319802,-0.0049765237321631,-0.0022796054621345,0.0961627854319802,0.0988044511050181,0.0936586981650902,0.2007496640301845,0.2182743484366396,0.2174418922666189,0.3875973658998651,-0.0166922282364343,0.06675
random,clip-base,clap-unfused,0,,heldout,0.0,0.0,0.0434782608695652,0.0869565217391304,3,15,0.008695652173913,-0.0196320079267025,0.7297956168045309,-0.0575937390009662,-0.0487882653061224,0.7297956168045308,0.684835505977878,0.7810738688845044,0.1225976794914751,0.1974258762839964,0.1959103363806153,0.5599622336571964,-0.0733126568891402,0.0565217391304347
procrustes,clip-base,clap-unfused,300,,aggregate,0.36,0.49,0.5425,0.6275,2,15,0.11,0.5375173091888428,0.3582227707043167,0.2878563227325333,0.1314671395526806,0.3582227707043168,0.3419954222077245,0.3760667714175,0.3574521480044867,0.236883069084465,0.2174418922666189,0.3875973658998651,0.1400102557378678,0.25875
procrustes,clip-base,clap-unfused,300,,heldout,0.0,0.0,0.0,0.0,3,15,0.0869565217391304,0.3326221108436584,0.6321779378801257,0.0806977640028553,0.0382840076024979,0.6321779378801257,0.5191248361795142,0.8081805271658813,0.3146318509156095,0.2150599467290298,0.1959103363806153,0.5599622336571964,0.1187215145349942,0.1956521739130435
direct,clip-base,clap-unfused,300,,aggregate,0.2575,0.44,0.5375,0.6325,2,15,0.1089999999999999,0.5346159338951111,0.3890001678255218,0.3244823516260992,0.1718470505725861,0.3890001678255217,0.3782448361940076,0.4003850529929474,0.3503622816817223,0.2434739505487013,0.2174418922666189,0.3875973658998651,0.1329203894151033,0.3390000000000001
direct,clip-base,clap-unfused,300,,heldout,0.0,0.0,0.0,0.0869565217391304,3,15,0.0260869565217391,0.2096470445394516,0.7185829082964417,0.1154990839546856,0.1196938065414057,0.7185829082964417,0.637865582514574,0.8226882160118215,0.3172788450635095,0.2188736879307057,0.1959103363806153,0.5599622336571964,0.1213685086828942,0.1739130434782608
c-transitive,clip-base,mert-330m,300,0.5,aggregate,0.085,0.195,0.26,0.32,5,15,0.0165,0.112655222415924,0.1812353588485847,0.0893445785163234,0.0307694857219487,0.1812353588485847,0.1878555278137924,0.1750659057090948,0.3104754400161268,0.2882739944916643,0.2174418922666189,0.3875973658998651,0.0930335477495079,0.1825
c-transitive,clip-base,mert-330m,300,0.5,heldout,0.0,0.05,0.05,0.05,2,15,0.01,-0.0566901192069053,0.767345644480788,0.0521169731843522,0.0377532228360957,0.767345644480788,0.6945257261437509,0.8572242437567087,0.1966868491035687,0.2264544897912458,0.197681801438289,0.5833116496478549,-0.0009949523347203,0.105
d,clip-base,mert-330m,0,0.7,aggregate,0.055,0.15,0.2175,0.3325,7,15,0.0205,0.4648492634296417,0.2012741890781597,0.1117665294114069,0.0453249220050501,0.2012741890781597,0.2074274425964956,0.1954754856624282,0.5257521099201959,0.4861039624321354,0.2174418922666189,0.3875973658998651,0.308310217653577,0.1305
d,clip-base,mert-330m,0,0.7,heldout,0.0,0.15,0.35,0.5,2,15,0.03,0.0963841155171394,0.7336177826048839,-0.0620790360851803,-0.0489678348535765,0.7336177826048838,0.6616226593257056,0.8231945059929655,0.4804586781263898,0.4292109002004067,0.197681801438289,0.5833116496478549,0.2827768766881008,0.155
unsup,clip-base,mert-330m,0,1.0,aggregate,0.0025,0.02,0.035,0.07,2,15,0.101,0.7887922525405884,0.3892292764037584,0.3209854904122526,0.1911510652121989,0.3892292764037584,0.3913741777451173,0.3871077569109991,0.2202460653340232,0.2161594901933861,0.2174418922666189,0.3875973658998651,0.0028041730674042,0.0735
unsup,clip-base,mert-330m,0,1.0,heldout,0.0,0.0,0.05,0.05,1,15,0.07,0.6039016246795654,0.8203983712406583,0.3075854328851816,0.2484177215189873,0.8203983712406583,0.7322452607074682,0.932681478994197,0.1561601822417633,0.1764075465488868,0.197681801438289,0.5833116496478549,-0.0415216191965257,0.065
text,clip-base,mert-330m,0,,aggregate,0.0625,0.1675,0.2325,0.32,4,15,0.0115,0.324794054031372,0.1904663684437893,0.1032995428901114,0.0627439208951981,0.1904663684437894,0.1840576842653803,0.1973374389331653,0.6260784439604461,0.3646712136523085,0.2174418922666189,0.3875973658998651,0.4086365516938272,0.1357499999999999
text,clip-base,mert-330m,0,,heldout,0.0,0.1,0.25,0.3,5,15,0.01,0.1694877445697784,0.7182751889587147,0.0326743047633053,0.0229430379746835,0.7182751889587146,0.6252226361481283,0.8438691335373719,0.5833116496478549,0.3088439469585726,0.197681801438289,0.5833116496478549,0.3856298482095658,0.18
random,clip-base,mert-330m,0,,aggregate,0.0,0.01,0.025,0.04,4,15,0.0155,-0.0024350988678634,0.0967114258344519,-0.0042608991728104,0.0016641540711,0.096711425834452,0.0989804448192505,0.0945441051097714,0.2007496640301845,0.2182743484366396,0.2174418922666189,0.3875973658998651,-0.0166922282364343,0.076
random,clip-base,mert-330m,0,,heldout,0.0,0.0,0.0,0.0,3,15,0.01,-0.1234900057315826,0.8054022004404618,0.0792814063557124,0.0648523451071221,0.8054022004404618,0.7521937504760229,0.8667113619521855,0.145028840088255,0.1924430184255693,0.197681801438289,0.5833116496478549,-0.052652961350034,0.085
procrustes,clip-base,mert-330m,300,,aggregate,0.5925,0.6575,0.685,0.71,2,15,0.057,0.4365230500698089,0.3021048726169709,0.2240073186134476,0.1274494681406215,0.302104872616971,0.3065909654422324,0.2977481691394741,0.3796220513312642,0.2214318678664214,0.2174418922666189,0.3875973658998651,0.1621801590646452,0.281
procrustes,clip-base,mert-330m,300,,heldout,0.0,0.05,0.05,0.05,2,15,0.02,0.4620219469070434,0.7638234301464315,0.0581507520168189,0.0471414242728184,0.7638234301464315,0.6893679490051456,0.85630950575993,0.3318726187169994,0.1948329198641248,0.197681801438289,0.5833116496478549,0.1341908172787103,0.215
direct,clip-base,mert-330m,300,,aggregate,0.0625,0.145,0.1725,0.29,1,15,0.1325,0.5369481444358826,0.2884672201170436,0.2227085260633289,0.1051294851749939,0.2884672201170436,0.2516498082739862,0.3379039746415677,0.2575997166390794,0.2201022609207262,0.2174418922666189,0.3875973658998651,0.0401578243724604,0.199
direct,clip-base,mert-330m,300,,heldout,0.0,0.0,0.0,0.0,0,15,0.05,0.4668082594871521,0.5896239893193458,0.0318086831770406,0.0117268772460752,0.5896239893193457,0.4553742101179112,0.8361231116442351,0.194937539626315,0.1935619814300136,0.197681801438289,0.5833116496478549,-0.0027442618119739,0.125
c-transitive,clip-base,mert-95m,300,0.5,aggregate,0.13,0.2575,0.32,0.4475,6,15,0.0215,0.174973651766777,0.1653196957105279,0.0724767439610441,0.0295218491336468,0.165319695710528,0.1697932278656548,0.1610758400575701,0.3044521753552627,0.292536978177279,0.2174418922666189,0.3875973658998651,0.0870102830886437,0.17175
c-transitive,clip-base,mert-95m,300,0.5,heldout,0.0,0.0,0.0384615384615384,0.2307692307692307,3,15,0.023076923076923,-0.0505212806165218,0.6909919291906059,-0.0165266087187814,-0.0132704452793988,0.6909919291906059,0.6595530635746484,0.7255780004402858,0.288772419828379,0.2802127545537021,0.2209067839227922,0.6076263127174166,0.0678656359055867,0.1538461538461538
d,clip-base,mert-95m,0,0.7,aggregate,0.0525,0.1325,0.2225,0.3175,5,15,0.0205,0.5099044442176819,0.1858735573679225,0.0957537662236928,0.0341948458160529,0.1858735573679226,0.1895122933163162,0.182371920345199,0.5263461313964125,0.4862864052882517,0.2174418922666189,0.3875973658998651,0.3089042391297936,0.12325
d,clip-base,mert-95m,0,0.7,heldout,0.0769230769230769,0.2692307692307692,0.4230769230769231,0.5384615384615384,3,15,0.0153846153846153,0.4071499705314636,0.6957388405492031,-0.0701055056374721,-0.0568614698504134,0.6957388405492032,0.6775897713267468,0.7148869039574608,0.4964248628382121,0.4661339172609148,0.2209067839227922,0.6076263127174166,0.2755180789154198,0.1576923076923077
unsup,clip-base,mert-95m,0,1.0,aggregate,0.005,0.0125,0.0225,0.05,2,15,0.0954999999999999,0.7933485507965088,0.3462460188288822,0.2729703251553262,0.1835205877073629,0.3462460188288822,0.3458049819036854,0.3466881821806918,0.2136118422738835,0.2254619069323426,0.2174418922666189,0.3875973658998651,-0.0038300499927354,0.083
unsup,clip-base,mert-95m,0,1.0,heldout,0.0,0.0384615384615384,0.0384615384615384,0.1153846153846153,1,15,0.0538461538461538,0.6446001529693604,0.6839733240300265,0.1415424602489496,0.099124071404812,0.6839733240300265,0.6128826745056443,0.7737201376054514,0.2523848186332085,0.2262574735161354,0.2209067839227922,0.6076263127174166,0.0314780347104162,0.1076923076923077
text,clip-base,mert-95m,0,,aggregate,0.0625,0.1675,0.2325,0.32,4,15,0.0175,0.2899489402770996,0.2135147428205419,0.1306208323513224,0.0626926223664017,0.2135147428205419,0.2113342255486462,0.2157407257512797,0.6260784439604461,0.3646712136523085,0.2174418922666189,0.3875973658998651,0.4086365516938272,0.126
text,clip-base,mert-95m,0,,heldout,0.0769230769230769,0.2307692307692307,0.3076923076923077,0.3846153846153846,3,15,0.0615384615384615,0.2743027806282043,0.7302387377932708,0.260717004729083,0.2419592438006383,0.7302387377932709,0.6587835716432725,0.8190805677646307,0.6076263127174166,0.3211260543683925,0.2209067839227922,0.6076263127174166,0.3867195287946244,0.1461538461538461
random,clip-base,mert-95m,0,,aggregate,0.0,0.01,0.025,0.04,3,15,0.0155,-0.0551876947283744,0.1054488743925641,0.0070428758971317,0.0011683702764694,0.1054488743925641,0.1072911349208049,0.1036688115782303,0.2007496640301845,0.2182743484366396,0.2174418922666189,0.3875973658998651,-0.0166922282364343,0.0785
