experiment,image_encoder,audio_encoder,K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift,cat_precision_10
text,clip-base,mert-95m,0,nan,heldout,0.07692307692307693,0.23076923076923078,0.3076923076923077,0.38461538461538464,3,15,0.06153846153846154,0.27430278062820435,0.7302387377932708,0.260717004729083,0.24195924380063835,0.7302387377932709,0.6587835716432725,0.8190805677646307,0.6076263127174166,0.32112605436839253,0.22090678392279223,0.6076263127174166,0.3867195287946244,0.14615384615384613
random,clip-base,mert-95m,0,nan,aggregate,0.0,0.01,0.025,0.04,3,15,0.0155,-0.05518769472837448,0.10544887439256417,0.007042875897131786,0.0011683702764694133,0.10544887439256417,0.1072911349208049,0.10366881157823032,0.20074966403018457,0.2182743484366396,0.21744189226661895,0.38759736589986515,-0.016692228236434375,0.0785
random,clip-base,mert-95m,0,nan,heldout,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,1,15,0.007692307692307693,-0.036168552935123444,0.7155003749041593,0.05575233653966561,0.03869214165800623,0.7155003749041593,0.684397923059493,0.7495643121819051,0.19953540316743779,0.21997149717897535,0.22090678392279223,0.6076263127174166,-0.02137138075535444,0.08846153846153847
procrustes,clip-base,mert-95m,300,nan,aggregate,0.7,0.735,0.75,0.7675,3,15,0.038,0.28081685304641724,0.22335228378976005,0.13873540860191058,0.07060831545230556,0.22335228378976008,0.22503303367974656,0.22169645448597008,0.383148208591728,0.2206620984246026,0.21744189226661895,0.38759736589986515,0.16570631632510904,0.29450000000000004
procrustes,clip-base,mert-95m,300,nan,heldout,0.038461538461538464,0.07692307692307693,0.11538461538461539,0.11538461538461539,3,15,0.03076923076923077,0.23593133687973022,0.6846130257028652,0.1438057153203054,0.10266523919535696,0.6846130257028651,0.6137542241414607,0.7739688325801618,0.34933497260778373,0.2228765987838879,0.22090678392279223,0.6076263127174166,0.1284281886849915,0.21538461538461537
direct,clip-base,mert-95m,300,nan,aggregate,0.11,0.2075,0.255,0.3325,2,15,0.13449999999999998,0.4049704074859619,0.25355872752675596,0.1891505811835738,0.09986677797987883,0.253558727526756,0.21449493766515343,0.31001942435108615,0.26374609196379967,0.21951111167145498,0.21744189226661895,0.38759736589986515,0.04630419969718072,0.21050000000000002
direct,clip-base,mert-95m,300,nan,heldout,0.0,0.0,0.0,0.0,3,15,0.1153846153846154,0.129831925034523,0.5182507084375003,0.04275705317195342,0.02869097429766886,0.5182507084375002,0.4124469052873055,0.6970673703999551,0.24122529378273427,0.2216932320250486,0.22090678392279223,0.6076263127174166,0.020318509859942047,0.18846153846153849
c-transitive,clip-large,clap-fused,300,0.5,aggregate,0.2475,0.46,0.56,0.65,7,15,0.0315,0.17640793323516846,0.21394768201523373,0.12034890446800241,0.04704490053924084,0.21394768201523376,0.21786934910349345,0.21016469928863313,0.33843195052981856,0.3256174239427173,0.21744189226661895,0.38759736589986515,0.12099005826319961,0.2645
c-transitive,clip-large,clap-fused,300,0.5,heldout,0.043478260869565216,0.21739130434782608,0.30434782608695654,0.4782608695652174,5,15,0.026086956521739136,0.05605859309434891,0.7656236582620937,-0.054558909288569525,-0.04677100197877316,0.7656236582620937,0.7457592351072105,0.7865752783517916,0.326555646294384,0.3098340356671664,0.20932962666657925,0.6059222010324534,0.11722601962780474,0.2391304347826087
d,clip-large,clap-fused,0,0.7,aggregate,0.05,0.16,0.2375,0.335,5,15,0.0385,0.42832693457603455,0.21096262429725843,0.11709330723595131,0.043977843569501116,0.21096262429725843,0.21472490169247385,0.20732991726180192,0.5259529860086847,0.48975738528063123,0.21744189226661895,0.38759736589986515,0.30851109374206576,0.18125
